2026-07-01 15:45:58 | WARNING | ops_monitor.monitor | API 检查失败: Httpbin, reason=HTTP 状态码异常: 实际为 503, 期望为 200
2026-07-01 15:45:58 | INFO | ops_monitor.monitor | 巡检报告已生成: /home/qjx/python-ops/ops_monitor/reports/report_20260701_154558.json
2026-07-01 15:45:58 | INFO | ops_monitor.monitor | ops_monitor 运行结束，overall_level=CRITICAL, exit_code=2
2026-07-01 15:58:22 | INFO | ops_monitor.monitor | ops_monitor 开始运行
2026-07-01 15:58:22 | INFO | ops_monitor.monitor | 开始采集系统资源指标
2026-07-01 15:58:23 | INFO | ops_monitor.monitor | 开始检查系统服务: ssh
2026-07-01 15:58:23 | INFO | ops_monitor.monitor | 服务检查完成: ssh, status=active, level=OK
2026-07-01 15:58:23 | INFO | ops_monitor.monitor | 开始检查系统服务: cron
2026-07-01 15:58:23 | INFO | ops_monitor.monitor | 服务检查完成: cron, status=active, level=OK
2026-07-01 15:58:23 | INFO | ops_monitor.monitor | 开始检查 API: Httpbin, url=https://httpbin.org/get
2026-07-01 15:58:25 | WARNING | ops_monitor.monitor | API 检查失败: Httpbin, reason=HTTP 状态码异常: 实际为 503, 期望为 200
2026-07-01 15:58:25 | INFO | ops_monitor.monitor | 巡检报告已生成: /home/qjx/python-ops/ops_monitor/reports/report_20260701_155825.json
2026-07-01 15:58:25 | INFO | ops_monitor.monitor | ops_monitor 运行结束，overall_level=CRITICAL, exit_code=2
